ID or #		Start	End	Type
229		3880349	3881752	complete
230		4262337	4263752	complete
231		4598261	4598998	complete
232		205126	208608	complete
233		3209129	3210874	complete
234		14168	15298	complete
235		12163	14079	complete
236		3879244	3880344	complete
237		236067	236798	complete
238		4599001	4599540	complete
239		491316	493247	complete
240		232597	233955	complete
241		2698640	2699020	complete
242		3704121	3705728	complete
243		2477224	2478552	complete
244		2475869	2477206	complete
245		3811955	3812410	complete
246		3220655	3223747	complete
247		3223744	3224193	complete
248		3219488	3220471	complete
249		2301927	2302415	partial
250		1930139	1930780	complete
251		1930817	1932628	complete
252		2904665	2905963	complete
253		627774	628520	complete
254		626917	627774	complete
255		624108	625283	complete
256		608682	609311	complete
257		625293	626903	complete
258		613380	617261	complete
259		106557	107474	complete
260		3411886	3413043	complete
261		3413055	3416159	complete
262		585370	586131	complete
263		3532538	3533890	complete
264		2700503	2701408	complete
265		3149272	3150006	complete
266		3148840	3149265	complete
267		1015175	1015693	complete
268		2438407	2439627	complete
269		3403458	3403928	complete
270		3403939	3405288	complete
271		1147982	1148935	complete
272		4025632	4026795	complete
273		4026805	4028994	complete
274		2459328	2460668	complete
275		1234161	1234880	complete
276		3068187	3069266	complete
277		4452634	4453632	complete
278		4078322	4079251	complete
279		4295242	4297389	complete
280		4512376	4514700	complete
281		4511429	4512331	complete
282		4510434	4511432	complete
283		4509481	4510437	complete
284		4508713	4509480	complete
285		4515737	4516258	complete
286		4514787	4515740	complete
287		609477	611717	complete
288		622777	623733	complete
289		618607	619422	complete
290		620408	621412	complete
291		617477	618610	complete
292		619419	620411	complete
293		612038	613162	complete
294		2744456	2745817	complete
295		2852360	2854438	complete
296		167484	169727	complete
297		171462	173444	complete
298		169778	170575	complete
299		170575	171465	complete
300		1158585	1160774	complete
301		3488883	3489485	complete
302		4541138	4541686	complete
303		4538980	4539582	complete
304		4542327	4543052	complete
305		4543119	4545755	complete
306		4540060	4540656	complete
307		4545765	4546295	complete
308		4546308	4546811	complete
309		4546831	4547733	complete
310		200971	201996	complete
311		3409293	3409589	complete
312		710158	710688	complete
313		1975290	1975868	complete
314		1975871	1976221	complete
315		2000134	2001630	complete
316		2017642	2018106	complete
317		2018111	2019115	complete
318		2019112	2019525	complete
319		1396798	1397550	complete
320		49823	50302	complete
321		2429696	2430964	complete
322		556098	556964	complete
323		3808366	3809175	complete
324		4378533	4380341	complete
325		4377806	4378540	complete
326		4377400	4377795	complete
327		4377030	4377389	complete
328		4024550	4025251	complete
329		192872	193429	complete
330		2257741	2259432	complete
331		2259449	2260387	complete
332		88028	89032	complete
333		103982	105244	complete
334		3600102	3600770	complete
335		91413	93179	complete
336		103155	103985	complete
337		3602416	3603012	complete
338		98403	99647	complete
339		3599051	3600109	complete
340		3600773	3602266	complete
341		105305	106456	complete
342		2931063	2931710	complete
343		2933606	2935381	complete
344		2935460	2936908	complete
345		2929887	2931038	complete
346		2932257	2933573	complete
347		2937390	2938121	complete
348		2936910	2937332	complete
349		1684755	1686401	complete
350		4343703	4345349	complete
351		1683209	1684612	complete
352		709423	709869	complete
353		3469422	3471536	complete
354		2790757	2792037	complete
355		790262	791278	complete
356		788054	789202	complete
357		2974621	2975652	complete
358		2238650	2239690	complete
359		789206	790252	complete
360		1860795	1861790	complete
361		3070694	3071713	complete
362		138835	141225	complete
363		2638708	2639826	complete
364		3047182	3047571	complete
365		1840395	1841738	complete
366		16751	16903	complete
367		3583104	3584846	complete
368		3921767	3923656	complete
369		3921080	3921703	complete
370		3564623	3566056	complete
371		3569339	3571525	complete
372		3566056	3567351	complete
373		3562157	3564604	complete
374		3567369	3569342	complete
375		3909862	3911691	complete
376		4054648	4056057	complete
377		2685092	2685430	complete
378		4051892	4053301	complete
379		846481	847227	complete
380		4053313	4054362	complete
381		845683	846342	complete
382		844964	845686	complete
383		705316	706980	complete
384		2350669	2352297	complete
385		2352287	2353546	complete
386		2353543	2354733	complete
387		3560036	3561541	complete
388		3559520	3559846	complete
389		4115268	4116113	complete
390		3558645	3559475	complete
391		4113737	4115245	complete
392		2347957	2349033	complete
393		3557870	3558628	complete
394		2349038	2350396	complete
395		752408	753691	complete
396		3352654	3357207	complete
397		3357220	3358638	complete
398		4292504	4293817	complete
399		3825483	3826688	complete
400		2517279	2518694	complete
401		2682276	2683529	complete
402		3722430	3723341	complete
403		3720351	3722420	complete
404		2097886	2099292	complete
405		3644322	3645674	complete
406		3960768	3962252	complete
407		255977	256435	complete
408		3326261	3326737	complete
409		2748137	2748730	complete
410		889719	889976	complete
411		2812905	2814461	complete
412		3089900	3090850	complete
413		2628980	2630557	complete
414		2630626	2632092	complete
415		113444	114487	complete
416		2334815	2337442	complete
417		3875728	3878142	complete
418		1695297	1696064	complete
419		1023694	1025748	complete
420		1262937	1264193	complete
421		387977	388951	complete
422		3987848	3988789	complete
423		3987111	3987851	complete
424		497279	498241	complete
425		173602	174882	complete
426		3985908	3987089	complete
427		3984709	3985905	complete
428		4401323	4402327	complete
429		4400061	4401320	complete
430		4398695	4399975	complete
431		4398311	4398619	complete
432		479314	479532	complete
433		1793277	1793576	complete
434		963051	963335	complete
435		1590200	1590466	complete
436		1588878	1590200	complete
437		2093149	2093886	complete
438		2091492	2092559	complete
439		2090422	2091492	complete
440		2089121	2090425	complete
441		2093868	2094644	complete
442		2088216	2089115	complete
443		2092559	2093149	complete
444		2094638	2095249	complete
445		2421758	2422531	complete
446		2637323	2638597	complete
447		2432846	2433658	complete
448		200482	200967	complete
449		2683857	2685047	complete
450		1291732	1292145	complete
451		4579482	4581071	complete
452		4581272	4584784	complete
453		4578091	4579485	complete
454		494344	496218	complete
455		1909719	1910600	complete
456		180884	182308	complete
457		1114885	1115805	complete
458		3181835	3182488	complete
459		4198304	4198576	complete
460		460675	460947	complete
461		1031362	1032480	complete
462		1032477	1034270	complete
463		1034289	1034996	complete
464		1034993	1035580	complete
465		1035577	1035975	complete
466		1035972	1036829	complete
467		2847996	2848457	complete
468		2847260	2847871	complete
469		2845437	2847263	complete
470		2844511	2845434	complete
471		2842784	2844493	complete
472		2842232	2842774	complete
473		2841465	2842232	complete
474		2841058	2841468	complete
475		4201343	4202668	complete
476		2848669	2849019	complete
477		2849023	2849895	complete
478		2849886	2850158	complete
479		2850158	2851279	complete
480		2851276	2852286	complete
481		2874603	2875640	complete
482		1194346	1195596	complete
483		3057775	3058668	complete
484		4220827	4221651	complete
485		22391	25207	complete
486		3953354	3954898	complete
487		3849119	3850807	complete
488		3955993	3957468	complete
489		3951501	3953351	complete
490		3950507	3951436	complete
491		87357	87848	complete
492		85630	87354	complete
493		3950224	3950487	complete
494		3848825	3849115	complete
495		3954950	3955843	complete
496		925448	925666	complete
497		3311364	3314036	complete
498		1798120	1798662	complete
499		564038	565201	complete
500		439426	440325	complete
501		1811891	1814152	complete
502		2864581	2865573	complete
503		4131858	4134038	complete
504		3789378	3790574	complete
505		726282	727955	complete
506		724211	726259	complete
507		723630	724202	complete
508		720953	723637	complete
509		720279	720956	complete
510		1267388	1268242	complete
511		970075	970821	complete
512		3806563	3807840	complete
513		47769	49631	complete
514		2722470	2723768	complete
515		51609	52430	complete
516		360473	361084	complete
517		365652	366734	complete
518		361150	362403	complete
519		362455	365529	complete
520		4245994	4247334	complete
521		2703347	2705146	complete
522		2702357	2703331	complete
523		84368	85312	complete
524		671424	674006	complete
525		4255138	4255746	complete
526		2526183	2528198	complete
527		1197918	1198811	complete
528		3590747	3591460	complete
529		3591462	3592229	complete
530		3593500	3594426	complete
531		3596578	3597681	complete
532		3594474	3595583	complete
533		3592226	3593503	complete
534		458112	460466	complete
535		127912	129336	complete
536		1755445	1755681	complete
537		202560	203348	complete
538		203348	204496	complete
539		931818	932312	complete
540		25207	25701	complete
541		2975659	2976921	complete
542		4229907	4231256	complete
543		2977043	2977978	complete
544		3031679	3033196	complete
545		4351223	4352740	complete
546		4243252	4244442	complete
547		4241554	4243098	complete
548		4240649	4241539	complete
549		1696176	1697204	complete
550		4244807	4245922	complete
551		4247577	4248497	complete
552		3548102	3550495	complete
553		3546008	3548092	complete
554		3551107	3553812	complete
555		1697379	1698971	complete
556		1698981	1700153	complete
557		421739	423556	complete
558		1686600	1687775	complete
559		1900072	1901043	complete
560		1901106	1901906	complete
561		1901910	1902770	complete
562		188712	189506	complete
563		2909113	2909361	complete
564		2907916	2908707	complete
565		1209569	1210402	complete
566		4575981	4577360	complete
567		4574935	4575981	complete
568		3381352	3382290	complete
569		4339934	4341289	complete
570		4341404	4342813	complete
571		2375611	2377281	complete
572		2443582	2444406	complete
573		4212303	4213232	complete
574		4126695	4127855	complete
575		3150258	3151445	complete
576		4011076	4013337	complete
577		4130639	4131529	complete
578		2192322	2194355	complete
579		4221851	4225534	complete
580		4126101	4126418	complete
581		3084728	3085882	complete
582		4127858	4130290	complete
583		4009886	4010839	complete
584		2235791	2237311	complete
585		2237372	2238370	complete
586		2234765	2235775	complete
587		4397275	4398225	complete
588		1224608	1225303	complete
589		1223772	1224584	complete
590		1223502	1223768	complete
591		4369048	4370694	complete
592		4368711	4369004	complete
593		1974276	1975163	complete
594		1973353	1974279	complete
595		2808792	2809322	complete
596		96002	97084	complete
597		164730	167264	complete
598		665539	667440	complete
599		664424	665536	complete
600		3398066	3399109	complete
601		3396897	3398000	complete
602		3396409	3396897	complete
603		2191081	2192190	complete
604		4584972	4585886	complete
605		965844	967592	complete
606		1937246	1938217	complete
607		3770304	3772217	complete
608		3772447	3773595	complete
609		3302595	3303839	complete
610		975549	980009	complete
611		100765	102240	complete
612		97087	98403	complete
613		93166	94653	complete
614		94650	96008	complete
615		99644	100711	complete
616		2967684	2968373	complete
617		2855115	2857676	complete
618		111044	111433	complete
619		3101035	3102087	complete
620		567538	567870	complete
621		781308	782351	complete
622		2708442	2710064	complete
623		700826	701974	complete
624		702034	702834	complete
625		698797	699549	complete
626		703167	705113	complete
627		699597	700817	complete
628		3370705	3371598	complete
629		1279087	1282830	complete
630		1282827	1284365	complete
631		1285072	1285749	complete
632		1284362	1285072	complete
633		1277180	1278571	complete
634		1274402	1275052	complete
635		1533961	1534641	complete
636		1534638	1535333	complete
637		1275045	1276841	complete
638		1535333	1536877	complete
639		1536874	1540614	complete
640		1165308	1166612	complete
641		2642455	2642886	complete
642		2248862	2249719	complete
643		17489	18655	complete
644		3492033	3494576	complete
645		3495025	3495831	complete
646		3494573	3494899	complete
647		3332931	3333209	complete
648		3837198	3838016	complete
649		2595853	2596887	complete
650		2342887	2345172	complete
651		2345406	2346536	complete
652		1709547	1710182	complete
653		1820482	1821309	complete
654		3103736	3104992	complete
655		3314061	3315548	complete
656		434361	434780	complete
657		4175766	4176311	complete
658		1397745	1398260	complete
659		1018236	1019276	complete
660		2309668	2310771	complete
661		985117	986205	complete
662		3533887	3534606	complete
663		583903	584856	complete
664		1299206	1300837	complete
665		1300923	1301843	complete
666		1301858	1302766	complete
667		1302778	1303791	complete
668		1303788	1304792	complete
669		1341134	1341352	complete
670		1554649	1555080	complete
671		4156513	4157430	complete
672		3488288	3488851	complete
673		1892829	1894190	complete
674		778290	778811	complete
675		3405629	3407080	complete
676		3161737	3163995	complete
677		3171526	3173418	complete
678		3530840	3532462	complete
679		2866915	2867541	complete
680		157729	159126	complete
681		52427	53416	complete
682		2434737	2435873	complete
683		2699020	2699751	complete
684		4482463	4483974	complete
685		254259	255716	complete
686		989845	992457	complete
687		3051537	3052862	complete
688		4029184	4030515	complete
689		4105575	4106537	complete
690		1804394	1805323	complete
691		950495	952777	complete
692		4231781	4233430	complete
693		3069481	3070644	complete
694		435813	436331	complete
695		1337354	1338118	complete
696		1990293	1990841	complete
697		2735767	2736927	complete
698		601182	602558	complete
699		1795983	1796966	complete
700		1793581	1795968	complete
701		4324422	4324757	complete
702		4323321	4323764	complete
703		4322400	4323188	complete
704		4321359	4322375	complete
705		4319720	4320445	complete
706		4319267	4319719	complete
707		4318686	4319270	complete
708		4317622	4318686	complete
709		4316784	4317629	complete
710		4316029	4316787	complete
711		4315238	4315918	complete
712		4314105	4315241	complete
713		4313548	4314105	complete
714		4313127	4313561	complete
715		4312367	4313125	complete
716		400971	402386	complete
717		416366	417055	complete
718		258269	259324	complete
719		4634719	4636143	complete
720		1188999	1189670	complete
721		1187539	1188999	complete
722		417113	418408	complete
723		3908508	3909548	complete
724		3904876	3905601	complete
725		738730	740148	complete
726		1208908	1209462	complete
727		4002885	4003754	complete
728		4007193	4008215	complete
729		4252066	4254489	complete
730		4455982	4457334	complete
731		988377	989579	complete
732		3307055	3309190	complete
733		1674395	1675927	complete
734		1672996	1674384	complete
735		4044989	4047775	complete
736		63429	65780	complete
737		3520893	3523445	complete
738		1183681	1184817	complete
739		1182840	1183667	complete
740		1182049	1182843	complete
741		1181006	1182052	complete
742		716169	717488	complete
743		908554	910272	complete
744		4447145	4447675	complete
745		4148470	4151121	complete
746		3489747	3490319	complete
747		553166	553660	complete
748		1782758	1785136	complete
749		1910792	1912840	complete
750		1264235	1265317	complete
751		3033206	3034304	complete
752		4122635	4124833	complete
753		4423543	4423857	complete
754		489509	490036	complete
755		3440788	3442119	complete
756		260727	261980	complete
757		259612	260715	complete
758		404059	404868	complete
759		217057	218775	complete
760		2802837	2804039	complete
761		2804032	2805096	complete
762		2805154	2806146	complete
763		1260151	1261098	complete
764		4387415	4388383	complete
765		1366103	1366771	complete
766		1366825	1367049	complete
767		1367049	1367408	complete
768		1367417	1367638	complete
769		1367713	1368027	complete
770		2720749	2722104	complete
771		3906572	3907462	complete
772		3905616	3906389	complete
773		3907462	3908421	complete
774		1257152	1257736	complete
775		2954018	2956906	complete
776		1157092	1158525	complete
777		2531786	2532043	complete
778		2532088	2533815	complete
779		4402710	4404008	complete
780		2594927	2595640	complete
781		4202665	4203954	complete
782		551814	552323	complete
783		2426743	2428260	complete
784		4203966	4205555	complete
785		550750	551817	complete
786		2689678	2693565	complete
787		2619219	2620256	complete
788		2620256	2620894	complete
789		1735868	1736893	complete
790		1074143	1078105	complete
791		1078528	1080036	complete
792		1935673	1937115	complete
793		1753722	1755134	complete
794		4469483	4470418	complete
795		1120784	1121830	complete
796		1003991	1005001	complete
797		3813150	3813791	complete
798		1339945	1340682	complete
799		2906051	2907688	complete
800		4469009	4469470	complete
801		424235	425305	complete
802		1415512	1415787	complete
803		3931801	3933306	complete
804		3934301	3935191	complete
805		3933311	3934276	complete
806		3931374	3931793	complete
807		3935317	3936246	complete
808		3936250	3937242	complete
809		2021992	2022615	complete
810		2314199	2314849	complete
811		2315049	2317898	complete
812		2820730	2821791	complete
813		2950483	2954025	complete
814		2957082	2960450	complete
815		2948657	2950483	complete
816		1412810	1415410	complete
817		3878171	3879244	complete
818		3823233	3825314	complete
819		3034395	3036128	complete
820		2749817	2751478	complete
821		2699763	2700491	complete
822		4003887	4005716	complete
823		493629	494234	complete
824		2909439	2911673	complete
825		1643657	1643896	complete
826		3958700	3960721	complete
827		3792010	3792942	complete
828		4022356	4022844	complete
829		3965939	3967042	complete
830		2001896	2003302	complete
831		4096669	4097517	complete
832		4095759	4096595	complete
833		3962388	3963653	complete
834		3964440	3965699	complete
835		3760206	3764339	partial
836		3617215	3621450	partial
837		728806	732999	partial
838		522485	526765	partial
839		4606208	4606654	complete
840		1124785	1125369	complete
841		891190	892092	complete
842		1496962	1497501	complete
843		663325	664413	complete
844		670828	671409	complete
845		643420	644226	complete
846		2701405	2702085	complete
847		1884888	1886015	complete
848		1140405	1143590	complete
849		235535	236002	complete
850		204493	205089	complete
851		3882516	3882875	complete
852		4176902	4177606	complete
853		3448565	3449386	complete
854		3450319	3450948	complete
855		3449703	3450308	complete
856		3444921	3445460	complete
857		3443629	3444162	complete
858		4424131	4424580	complete
859		4178019	4178516	complete
860		4176470	4176898	complete
861		4178583	4178948	complete
862		3376245	3376673	complete
863		3445800	3446171	complete
864		3442127	3442561	complete
865		3446781	3447191	complete
866		3437638	3438021	complete
867		3443266	3443619	complete
868		2742205	2742552	complete
869		1797417	1797773	complete
870		3447923	3448255	complete
871		3449404	3449706	complete
872		3445475	3445789	complete
873		2280539	2280823	complete
874		3809461	3809697	complete
875		3446590	3446781	complete
876		3442565	3442744	complete
877		4125036	4125248	complete
878		1146590	1146763	complete
879		3809273	3809440	complete
880		3882359	3882499	complete
881		3438062	3439051	complete
882		4179268	4183296	complete
883		4183373	4187596	complete
884		3211069	3212910	complete
885		3597952	3598806	complete
886		3342739	3344172	complete
887		3820129	3820404	complete
888		961218	962891	complete
889		189874	190599	complete
890		3447204	3447905	complete
891		3439077	3439697	complete
892		3442748	3443251	complete
893		4423141	4423536	complete
894		3471564	3472103	complete
895		3444175	3444567	complete
896		3375837	3376229	complete
897		3450981	3451292	complete
898		3439731	3440120	complete
899		3472200	3472574	complete
900		3440137	3440493	complete
901		3444601	3444906	complete
902		3309437	3309706	complete
903		2743959	2744207	complete
904		3446336	3446590	complete
905		4423862	4424089	complete
906		3448270	3448548	complete
907		20815	21078	complete
908		3208803	3209018	complete
909		1986740	1987237	complete
910		4172099	4173049	complete
911		1943389	1944000	complete
912		1942370	1943380	complete
913		1944879	1945400	complete
914		2080780	2082207	complete
915		411831	414977	complete
916		395863	397083	complete
917		4106857	4107846	complete
918		1894956	1896320	complete
919		755130	756896	complete
920		756912	757628	complete
921		754400	754789	complete
922		754783	755130	complete
923		1994134	1994856	complete
924		108279	110984	complete
925		3781684	3782151	complete
926		426871	428718	complete
927		4175381	4175764	complete
928		428729	429700	complete
929		3757881	3759272	complete
930		3756040	3757884	complete
931		1844989	1846032	complete
932		3055200	3056432	complete
933		4622918	4623886	complete
934		956876	957964	complete
935		938651	939943	complete
936		1551996	1553693	complete
937		160782	161486	complete
938		4628756	4630693	complete
939		4622168	4622812	complete
940		2751627	2751968	complete
941		4098833	4099453	complete
942		1733402	1733983	complete
943		3275024	3275359	complete
944		1327356	1328405	complete
945		4275492	4275956	complete
946		4275083	4275406	complete
947		3081957	3083933	complete
948		3080899	3081819	complete
949		3105042	3107177	complete
950		134788	135582	complete
951		135598	136464	complete
952		717485	719683	complete
953		3819451	3820074	complete
954		3820423	3822531	complete
955		3822538	3823227	complete
956		1846861	1848717	complete
957		2823854	2824417	complete
958		2825384	2825755	complete
959		2825759	2826538	complete
960		2826643	2827002	complete
961		2827835	2828800	complete
962		2827069	2827842	complete
963		2710918	2712252	complete
964		4272148	4272684	complete
965		3374804	3375442	complete
966		3374301	3374798	complete
967		757929	760730	complete
968		760745	761962	complete
969		762237	763403	complete
970		763403	764272	complete
971		2661464	2662267	complete
972		1019633	1020142	complete
973		53416	54702	complete
974		3711115	3711678	complete
975		1967407	1969008	complete
976		1969054	1970715	complete
977		3264149	3265087	complete
978		3263061	3264050	complete
979		3261708	3263039	complete
980		3265402	3265620	complete
981		3788343	3789368	complete
982		1292750	1293367	complete
983		473525	474385	complete
984		425361	426488	complete
985		3884851	3886215	complete
986		337	2799	complete
987		2801	3733	complete
988		3734	5020	complete
989		1798666	1800594	complete
990		2962383	2963177	complete
991		454357	455655	complete
992		1924803	1926863	complete
993		3886753	3888168	complete
994		3888259	3889506	complete
995		775565	776830	complete
996		776963	778255	complete
997		3176137	3177618	complete
998		774376	775068	complete
999		775072	775500	complete
1000		1309113	1309832	complete
1001		1329072	1331669	complete
1002		1843023	1844984	complete
1003		4108763	4109530	complete
1005		1244902	1246599	complete
1006		1490494	1492134	complete
1007		3434540	3435916	complete
1008		1421806	1423263	complete
1009		4031168	4032619	complete
1010		4160193	4161293	complete
1011		2742594	2743361	complete
1012		1314440	1315246	complete
1013		1315246	1316439	complete
1014		1316451	1317809	complete
1015		1317813	1319408	complete
1016		1319408	1320970	complete
1017		4630783	4631109	complete
1018		3510656	3511660	complete
1019		3963784	3964113	complete
1020		930308	931273	complete
1021		190857	191708	complete
1022		4589680	4591335	complete
1023		430353	431237	complete
1024		3468167	3469351	partial
1025		4173967	4175151	partial
1026		1682283	1683212	complete
1027		2736970	2738091	complete
1028		4265137	4266330	complete
1029		1987705	1988916	complete
1030		1384744	1386285	complete
1031		1713972	1715246	complete
1032		2426079	2426648	complete
1033		4014454	4015215	complete
1034		3588047	3588934	complete
1035		3589032	3590348	complete
1036		3586133	3587203	complete
1037		3587205	3588050	complete
1038		3585393	3586136	complete
1039		3848159	3848749	complete
1040		3846657	3848159	complete
1041		3845328	3846647	complete
1042		3843799	3845190	complete
1043		1692284	1694095	complete
1044		1230409	1231677	complete
1045		1229990	1230409	complete
1046		2714776	2715465	complete
1047		2433658	2434671	complete
1048		504138	505790	complete
1049		4269072	4271894	complete
1050		812749	814770	complete
1051		1990898	1992730	complete
1052		3996006	3998168	complete
1053		1607253	1608704	complete
1054		4549659	4550843	complete
1055		4479005	4481860	complete
1056		2028472	2028942	complete
1057		3994310	3995206	complete
1058		3036134	3036844	complete
1059		3036869	3037765	complete
1060		2632254	2633624	complete
1061		1830452	1831258	complete
1062		3727466	3728788	complete
1063		3725940	3727394	complete
1064		4238802	4240277	complete
1065		18715	19620	complete
1066		21407	22348	complete
1067		25826	26275	complete
1068		26277	27227	complete
1069		27293	28207	complete
1070		60358	63264	complete
1071		89634	90092	complete
1072		90094	91035	complete
1073		91032	91397	complete
1074		107705	108217	complete
1075		122092	122856	complete
1076		136570	136917	complete
1077		178455	179153	complete
1078		256527	257771	complete
1079		257829	258230	partial
1080		406203	406394	complete
1081		414974	416176	complete
1082		423561	424142	complete
1083		426511	426843	complete
1084		429829	430176	complete
1085		440325	440567	complete
1086		475896	476249	complete
1087		493300	493629	complete
1088		498238	499197	complete
1089		499349	500653	complete
1090		563071	563703	complete
1091		621523	622773	complete
1092		628523	628936	complete
1093		631405	631602	complete
1094		738224	738733	complete
1095		764376	765098	complete
1096		773975	774379	complete
1097		921589	921813	complete
1098		925951	926655	complete
1099		1029982	1030641	complete
1100		1039668	1039760	complete
1101		1116030	1117082	complete
1102		1121936	1122496	complete
1103		1144163	1145122	complete
1104		1146017	1146538	complete
1105		1207740	1208342	complete
1106		1309872	1310270	complete
1107		1310375	1310914	complete
1108		1310944	1311687	complete
1109		1312044	1312682	complete
1110		1312742	1313248	complete
1111		1313294	1313794	complete
